id_product,id_image,position,cover
13,3518,1,0
13,3519,2,0
13,3520,3,0
13,3521,4,0
13,3524,5,0
13,3538,6,1
13,3539,7,0
13,3540,8,0
13,3541,9,0
13,3542,10,0
15,1608,1,0
15,1688,2,0
15,3377,3,0
15,3378,4,0
15,3379,5,1
15,3380,6,0
15,3381,7,0
15,3747,8,0
15,3748,9,0
15,3749,10,0
15,3750,11,0
15,3751,12,0
16,1920,1,1
16,1921,2,0
16,1922,3,0
16,1923,4,0
16,1924,5,0
16,1925,6,0
16,1926,7,0
16,1927,8,0
16,1928,9,0
16,1929,10,0
16,1991,11,0
17,3141,1,0
17,3142,2,0
17,3143,3,0
17,3144,4,0
17,3419,5,0
17,3420,6,1
17,3421,7,0
19,2645,1,1
19,2646,2,0
19,2647,3,0
19,2648,4,0
19,2649,5,0
19,3396,6,0
19,3397,7,0
19,3398,8,0
19,3399,9,0
20,3422,1,0
20,3423,2,0
20,3424,3,0
20,3425,4,0
20,3426,5,0
20,3427,6,0
20,3428,7,0
20,3429,8,1
27,2413,1,0
27,2414,2,0
27,2415,3,0
27,3400,4,0
27,3401,5,0
27,3402,6,0
27,3403,7,0
27,3404,8,0
27,3405,9,1
27,3406,10,0
27,3407,11,0
28,2616,1,0
28,2617,2,1
28,2618,3,0
28,2619,4,0
28,2620,5,0
28,2621,6,0
28,2622,7,0
28,2623,8,0
32,1638,1,0
32,1639,2,0
32,1640,3,0
32,1642,4,0
32,3506,5,0
32,3507,6,0
32,3508,7,1
32,3509,8,0
33,3752,1,0
33,3753,2,1
33,3754,3,0
33,3755,4,0
43,208,1,1
43,375,2,0
43,533,3,0
43,534,4,0
45,1792,1,0
45,1793,2,0
45,2044,3,0
45,2045,4,0
45,2046,5,0
45,2047,6,0
45,3282,7,0
45,3283,8,0
45,3284,9,0
45,3285,10,0
45,3286,11,0
45,3287,12,0
45,3288,13,0
45,3502,14,0
45,3503,15,0
45,3504,16,0
45,3505,17,1
49,712,2,1
49,713,3,0
49,714,4,0
155,2081,1,0
155,2082,2,0
155,2083,3,0
155,2084,4,0
155,2085,5,1
156,3463,1,0
156,3464,2,0
156,3465,3,0
156,3466,4,0
156,3467,5,0
156,3468,6,0
156,3715,7,1
156,3716,8,0
156,3717,9,0
156,3718,10,0
156,3719,11,0
160,325,1,0
160,326,2,0
160,327,3,1
163,2650,1,1
163,2651,2,0
163,2652,3,0
163,2653,4,0
168,356,1,0
168,357,2,1
168,358,3,0
168,359,4,0
169,2566,1,0
169,2567,2,0
169,2569,3,0
169,2570,4,0
169,2571,5,0
169,3469,6,0
169,3471,7,0
169,3472,8,0
169,3533,9,0
169,3534,10,1
186,3300,1,0
186,3301,2,0
186,3302,3,0
186,3303,4,0
186,3800,5,1
186,3801,6,0
186,3802,7,0
192,3593,1,0
192,3594,2,1
192,3595,3,0
192,3596,4,0
204,2182,1,0
204,2183,2,0
204,2184,3,0
204,2185,4,1
204,2186,5,0
205,390,1,1
205,391,2,0
205,392,3,0
205,393,4,0
208,2475,1,1
209,2037,1,0
209,3720,2,0
209,3722,3,0
209,3723,4,1
209,3724,5,0
209,3725,6,0
209,3727,7,0
209,3728,8,0
209,3729,9,0
209,3730,10,0
211,3535,1,0
211,3536,2,1
211,3537,3,0
214,1696,1,0
214,1697,2,0
214,1698,3,0
214,1699,4,0
214,1700,5,0
214,1701,6,0
214,1702,7,0
214,1703,8,0
214,1704,9,0
214,1705,10,0
214,1706,11,0
214,1781,12,0
214,1782,13,0
214,3839,14,1
214,3840,15,0
214,3841,16,0
214,3842,17,0
214,3843,18,0
214,3844,19,0
214,3845,20,0
214,3846,21,0
214,3847,22,0
214,3848,23,0
214,3849,24,0
215,428,1,0
215,429,2,0
215,430,3,0
215,431,4,1
216,3304,1,0
216,3305,2,1
216,3306,3,0
216,3307,4,0
216,3308,5,0
216,3309,6,0
219,3002,1,0
219,3766,2,1
219,3767,3,0
219,3768,4,0
219,3769,5,0
219,3770,6,0
220,2784,1,0
220,2785,2,1
220,2786,3,0
220,2787,4,0
220,2788,5,0
220,2789,6,0
221,1452,1,0
221,2468,2,0
221,2469,3,1
221,2470,4,0
221,2471,5,0
222,817,1,0
222,818,2,1
222,819,3,0
224,2873,1,0
224,2874,2,0
224,2875,3,1
